Qty,Value,Device,Package,Parts,Description,AVAILABILITY,DESCRIPTION,MF,MP,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PRICE,PROD_ID,SF_ID,SPICEMODEL,SPICEPREFIX,SPICETYPE,SUPPLIER,VALUE,WE-NUMBER
2,,DIODE_DIODE-ADVANSID1X1,DIODE_ASD-NUV1S-P,"SIPM1X1_BOT, SIPM1X1_TOP",DIODE,,,,,,,,,,,,,,,,,
2,,DIODE_DIODE-ADVANSID3X3,DIODE_ASD-NUV3S-P,"SIPM3X3_BOT, SIPM3X3_TOP",DIODE,,,,,,,,,,,,,,,,,
1,0,R-EU_R0603,R0603,R31,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,
3,0 ohm,R-EU_R1206,R1206,"R9, R69, R72","RESISTOR, European symbol",,,,,,,,,,,,,,,,,
1,1 uH CM choke,WE-CNSW_1812_744235601,WE-CNSW_1812,L1,WE-CNSW SMD Common Mode Line Filter,,,,,,,,,,,,,,,,,744235601/1uH
1,10,R-EU_R0603,R0603,R30,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,
2,100,R-EU_R0603,R0603,"R64, R73","RESISTOR, European symbol",,,,,,,,,,,,,,,,,
6,100k,R-EU_R0603,R0603,"R40, R41, R56, R57, R60, R61","RESISTOR, European symbol",,,,,,,,,,,,,,,,,
41,100n,C-EUC0603,C0603,"C9, C10, C14, C15, C19, C20, C24, C25, C29, C32, C33, C34, C35, C36, C38, C41, C44, C50, C53, C56, C57, C58, C59, C61, C65, C66, C73, C74, C76, C80, C81, C82, C84, C85, C86, C88, C90, C91, C92, C93, C94","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,
2,100n ECPU,C-EUC0805,C0805,"C1, C16","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,
1,100u,CPOL-EUC/6032-28R,C/6032-28R,C6,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,,,,,,
1,10K,R-EU_0603-RND,R0603-ROUND,R14,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,
5,10K,R-EU_R0805,R0805,"R25, R32, R33, R67, R68","RESISTOR, European symbol",,,,,,,,,,,,,,,,,
1,10k,R-EU_R0402,R0402,R13,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,
10,10k,R-EU_R0603,R0603,"R23, R29, R38, R39, R43, R53, R54, R55, R58, R59","RESISTOR, European symbol",,,,,,,,,,,,,,,,,
10,10n,C-EUC0603,C0603,"C5, C8, C37, C39, C42, C51, C54, C60, C62, C48","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,
